replication,method,state,theta_hat,lower,upper
1,HT,01,0.24531540533534932,NA,NA
1,HT,04,0.32106790880995245,NA,NA
1,HT,05,0.19622289972996246,NA,NA
1,HT,06,0.28288870307797126,NA,NA
1,HT,08,0.29103670900588263,NA,NA
1,HT,09,0.3030848523242051,NA,NA
1,HT,10,0.39123650920250774,NA,NA
1,HT,11,0.15312405958097172,NA,NA
1,HT,12,0.44031789274039973,NA,NA
1,HT,13,0.30997051812241555,NA,NA
1,HT,16,0.2806492678076088,NA,NA
1,HT,17,0.41742497047885996,NA,NA
1,HT,18,0.35097242446234916,NA,NA
1,HT,19,0.2996624658698109,NA,NA
1,HT,20,0.2515143502796351,NA,NA
1,HT,21,0.29465192887080655,NA,NA
1,HT,22,0.30527811278915606,NA,NA
1,HT,23,0.3050564049561672,NA,NA
1,HT,24,0.3263184736587817,NA,NA
1,HT,25,0.32897489844198613,NA,NA
1,HT,26,0.42473292811165547,NA,NA
1,HT,27,0.3674830928307735,NA,NA
1,HT,28,0.2647369987230262,NA,NA
1,HT,29,0.2636155429504953,NA,NA
1,HT,30,0.24089783907562873,NA,NA
1,HT,31,0.31120228870065275,NA,NA
1,HT,32,0.308101405543346,NA,NA
1,HT,33,0.3261040685451263,NA,NA
1,HT,34,0.4257803205231785,NA,NA
1,HT,35,0.37827413279063343,NA,NA
1,HT,36,0.3409292250516962,NA,NA
1,HT,37,0.37144336055203603,NA,NA
1,HT,38,0.39431523328675433,NA,NA
1,HT,39,0.340513267451614,NA,NA
1,HT,40,0.3021413242387504,NA,NA
1,HT,41,0.2647581114041352,NA,NA
1,HT,42,0.37771724595793627,NA,NA
1,HT,44,0.3730177944736381,NA,NA
1,HT,45,0.32752247519753747,NA,NA
1,HT,46,0.3500670662765033,NA,NA
1,HT,47,0.30685992087804115,NA,NA
1,HT,48,0.2794294909283413,NA,NA
1,HT,49,0.2730011116814792,NA,NA
1,HT,50,0.2790076047448197,NA,NA
1,HT,51,0.2618919662207958,NA,NA
1,HT,53,0.362442393403875,NA,NA
1,HT,54,0.32543465125853355,NA,NA
1,HT,55,0.2775022002653675,NA,NA
1,HT,56,0.22926442301356267,NA,NA
2,HT,01,0.3544920615567663,NA,NA
2,HT,04,0.19070170707766518,NA,NA
2,HT,05,0.2383322364984043,NA,NA
2,HT,06,0.3631158789664149,NA,NA
2,HT,08,0.2255042027440492,NA,NA
2,HT,09,0.3764925645707494,NA,NA
2,HT,10,0.2897068546125448,NA,NA
2,HT,11,0.28453552979118146,NA,NA
2,HT,12,0.32399993936342864,NA,NA
2,HT,13,0.36261241224195134,NA,NA
2,HT,16,0.35911705010113065,NA,NA
2,HT,17,0.37236915706232027,NA,NA
2,HT,18,0.3592352822951054,NA,NA
2,HT,19,0.31002952223244623,NA,NA
2,HT,20,0.3456351753153577,NA,NA
2,HT,21,0.39997362342086484,NA,NA
2,HT,22,0.5441157226959754,NA,NA
2,HT,23,0.3299079524212596,NA,NA
2,HT,24,0.2776642383920107,NA,NA
2,HT,25,0.40721847861812577,NA,NA
2,HT,26,0.3761046987969793,NA,NA
2,HT,27,0.255057829981446,NA,NA
2,HT,28,0.34068453601251736,NA,NA
2,HT,29,0.2529166227446172,NA,NA
2,HT,30,0.23373841522554753,NA,NA
2,HT,31,0.2815725931345477,NA,NA
2,HT,32,0.35390978264747686,NA,NA
